"filename", "language", "JavaScript", "JSON", "comment", "blank", "total"
"/Users/mgl/Documents/projects/Find/find/components/Screen2.js", "JavaScript", 28, 0, 1, 5, 34
"/Users/mgl/Documents/projects/Find/find/components/animations/attention.json", "JSON", 0, 1, 0, 0, 1
"/Users/mgl/Documents/projects/Find/find/components/animations/check.json", "JSON", 0, 1, 0, 0, 1
"/Users/mgl/Documents/projects/Find/find/components/animations/exit.json", "JSON", 0, 1, 0, 0, 1
"/Users/mgl/Documents/projects/Find/find/components/animations/invalid.json", "JSON", 0, 1, 0, 0, 1
"/Users/mgl/Documents/projects/Find/find/components/animations/reenter.json", "JSON", 0, 1, 0, 0, 1
"/Users/mgl/Documents/projects/Find/find/components/babel.config.js", "JavaScript", 9, 0, 0, 0, 9
"/Users/mgl/Documents/projects/Find/find/components/backups/event.js", "JavaScript", 1078, 0, 191, 47, 1316
"/Users/mgl/Documents/projects/Find/find/components/backups/home.js", "JavaScript", 303, 0, 57, 12, 372
"/Users/mgl/Documents/projects/Find/find/components/bottomSheetPreset.js", "JavaScript", 23, 0, 0, 1, 24
"/Users/mgl/Documents/projects/Find/find/components/cards/BigCard.js", "JavaScript", 128, 0, 8, 10, 146
"/Users/mgl/Documents/projects/Find/find/components/cards/BigCards2.js", "JavaScript", 95, 0, 18, 10, 123
"/Users/mgl/Documents/projects/Find/find/components/cards/MediumCard.js", "JavaScript", 75, 0, 20, 16, 111
"/Users/mgl/Documents/projects/Find/find/components/cards/SmallCard.js", "JavaScript", 105, 0, 12, 11, 128
"/Users/mgl/Documents/projects/Find/find/components/colors.js", "JavaScript", 26, 0, 17, 7, 50
"/Users/mgl/Documents/projects/Find/find/components/hooks/EventScreen.js", "JavaScript", 1080, 0, 199, 44, 1323
"/Users/mgl/Documents/projects/Find/find/components/hooks/useAuth.js", "JavaScript", 127, 0, 7, 24, 158
"/Users/mgl/Documents/projects/Find/find/components/hooks/useData.js", "JavaScript", 113, 0, 10, 16, 139
"/Users/mgl/Documents/projects/Find/find/components/hooks/useDesign.js", "JavaScript", 57, 0, 5, 10, 72
"/Users/mgl/Documents/projects/Find/find/components/navigation/DrawerNavigator.js", "JavaScript", 288, 0, 16, 12, 316
